player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Christian McCaffrey,CAR,15.8,69.9,0.5,6.3,54.6,0.3,0.0,23.8
Saquon Barkley,NYG,16.6,77.7,0.5,4.2,33.1,0.2,0.0,19.1
Austin Ekeler,LAC,9.3,48.9,0.3,4.8,50.9,0.4,0.1,19.0
Ezekiel Elliott,DAL,19.1,83.1,0.6,3.3,27.3,0.2,0.1,18.9
Alvin Kamara,NO,12.0,56.6,0.5,5.1,39.1,0.2,0.0,18.8
Dalvin Cook,MIN,16.9,76.1,0.6,3.7,33.5,0.1,0.2,18.7
Josh Jacobs,LV,19.9,91.7,0.7,1.9,13.9,0.1,0.1,16.8
James Conner,PIT,13.9,63.0,0.5,3.7,27.0,0.2,0.1,16.6
Miles Sanders,PHI,13.6,70.7,0.4,3.2,30.5,0.2,0.1,16.6
Clyde Edwards-Helaire,KC,14.0,65.1,0.5,3.2,25.7,0.2,0.1,16.4
Joe Mixon,CIN,18.1,81.2,0.5,2.4,20.0,0.1,0.0,16.1
Derrick Henry,TEN,18.0,89.5,0.7,1.5,12.1,0.1,0.1,16.1
Aaron Jones,GB,13.0,62.8,0.6,3.0,20.7,0.1,0.1,15.4
Kenyan Drake,ARI,12.8,63.5,0.4,3.3,26.6,0.1,0.1,15.3
Chris Carson,SEA,17.0,73.9,0.4,2.2,16.3,0.1,0.2,14.1
Todd Gurley,ATL,14.0,57.6,0.5,2.6,20.4,0.1,0.1,14.0
Nick Chubb,CLE,14.4,76.2,0.5,2.0,13.4,0.1,0.1,13.9
Le'Veon Bell,NYJ,14.5,56.0,0.2,3.7,26.8,0.1,0.1,13.5
David Johnson,HOU,13.9,49.8,0.3,2.9,28.4,0.1,0.1,13.0
Melvin Gordon,DEN,14.7,51.9,0.4,2.8,21.9,0.1,0.1,12.9
Jonathan Taylor,IND,14.0,55.9,0.4,2.2,17.1,0.1,0.1,12.6
Devin Singletary,BUF,10.3,57.6,0.2,2.7,20.3,0.1,0.1,12.4
Antonio Gibson,WAS,10.4,48.0,0.3,3.1,23.5,0.1,0.1,12.4
Mark Ingram II,BAL,11.5,55.5,0.4,2.0,16.2,0.1,0.1,12.3
Raheem Mostert,SF,11.4,57.8,0.5,1.6,10.7,0.1,0.2,11.3
Tarik Cohen,CHI,7.8,26.1,0.1,4.0,31.1,0.1,0.1,11.1
Kareem Hunt,CLE,7.9,33.4,0.2,3.3,26.6,0.1,0.0,11.0
Chris Thompson,JAC,3.7,26.5,0.1,4.0,33.3,0.1,0.0,11.0
James White,NE,3.6,14.0,0.1,4.3,37.3,0.2,0.0,10.8
Ronald Jones II,TB,10.0,44.1,0.3,2.0,17.7,0.1,0.1,10.0
Marlon Mack,IND,11.7,52.0,0.4,1.1,7.3,0.0,0.0,9.5
Leonard Fournette,TB,13.1,45.2,0.2,2.4,14.5,0.0,0.0,9.5
Jordan Howard,MIA,13.0,53.4,0.3,1.5,8.4,0.0,0.0,9.4
Cam Akers,LAR,11.3,38.1,0.3,2.0,14.4,0.1,0.1,9.3
Sony Michel,NE,13.2,56.9,0.3,1.2,6.6,0.0,0.1,9.1
David Montgomery,CHI,11.8,52.6,0.2,1.4,9.1,0.0,0.1,8.6
Duke Johnson,HOU,4.0,18.2,0.1,3.1,28.0,0.1,0.1,8.4
Kerryon Johnson,DET,10.5,41.0,0.2,1.8,12.6,0.0,0.1,8.4
Phillip Lindsay,DEN,10.4,42.6,0.2,1.8,10.5,0.0,0.0,8.4
