player,team,fgm,fga,xpm,fp_projection
Zane Gonzalez,SF,29.8,35.8,41.0,144.2
Greg Joseph,MIN,30.8,37.0,41.6,145.9
Justin Tucker,BAL,29.9,33.3,44.4,146.2
Jason Myers,SEA,34.5,39.6,43.3,155.4
Harrison Butker,KC,26.7,31.1,51.6,142.2
Evan McPherson,CIN,28.3,32.8,49.8,143.5
Tyler Bass,BUF,28.1,32.8,44.4,141.0
Daniel Carlson,LV,32.0,35.3,37.0,140.5
Jake Elliott,PHI,27.7,32.0,47.8,142.4
Younghoe Koo,ATL,32.1,35.8,39.6,155.7
Graham Gano,NYG,33.0,36.2,37.0,155.0
Riley Patterson,DET,28.3,33.7,45.2,138.0
Brandon McManus,JAC,30.8,36.1,39.7,138.6
Cameron Dicker,LAC,29.3,33.4,45.0,141.1
Jason Sanders,MIA,31.2,37.4,38.6,143.2
Jake Moody,SF,27.9,32.9,40.3,134.6
Cairo Santos,CHI,29.2,33.0,39.4,140.8
Chase McLaughlin,TB,28.7,33.8,39.8,136.7
Nick Folk,NE,26.9,30.6,34.3,120.7
Eddy Pineiro,CAR,31.8,35.0,34.0,146.0
Wil Lutz,NO,27.0,33.0,41.7,126.0
Chris Boswell,PIT,28.0,35.5,35.1,131.3
Greg Zuerlein,NYJ,31.4,40.5,38.7,135.0
Brett Maher,DEN,29.3,32.9,38.4,139.7
Cade York,CLE,27.3,33.1,39.6,130.4
Dustin Hopkins,LAC,27.0,32.0,36.1,127.0
Matt Gay,IND,29.0,33.5,35.6,133.5
Brandon Aubrey,DAL,27.1,32.7,41.7,133.4
Matt Prater,ARI,27.7,31.8,35.6,127.5
Anders Carlson,GB,26.8,32.3,44.5,129.3
Ka'imi Fairbairn,HOU,28.0,32.0,32.0,127.3
Joey Slye,WAS,27.1,32.4,35.2,125.4
Chad Ryland,NE,27.1,32.0,34.9,123.9
Rodrigo Blankenship,TB,24.0,28.3,34.7,113.4
Tanner Brown,LAR,26.9,32.4,35.0,122.5
Caleb Shudak,TEN,26.9,36.3,34.6,124.7
