player,team,fgm,fga,xpm,fp_projection
Harrison Butker,KC,1.8,2.1,3.0,8.3
Wil Lutz,NO,1.7,2.1,3.0,8.1
Justin Tucker,BAL,1.7,2.0,3.0,8.0
Robbie Gould,SF,1.8,2.1,2.6,7.9
Nick Folk,NE,1.7,2.1,2.7,7.6
Greg Zuerlein,DAL,1.7,2.3,2.4,7.6
Jason Myers,SEA,1.7,2.1,2.5,7.6
Dan Bailey,MIN,1.7,2.2,2.4,7.5
Chris Boswell,PIT,1.7,2.1,2.3,7.5
Jake Elliott,PHI,1.8,2.1,2.2,7.5
Matt Prater,DET,1.7,2.4,2.1,7.3
Mason Crosby,GB,1.6,2.0,2.4,7.3
Michael Badgley,LAC,1.7,2.2,2.3,7.2
Younghoe Koo,ATL,1.5,1.8,2.6,7.1
Joey Slye,CAR,1.7,2.0,2.1,7.1
Daniel Carlson,LV,1.5,2.1,2.4,7.0
Randy Bullock,CIN,1.7,1.8,1.9,7.0
Brandon McManus,DEN,1.7,2.2,1.9,7.0
Stephen Gostkowski,TEN,1.5,1.9,2.4,6.8
Rodrigo Blankenship,IND,1.5,1.9,2.2,6.8
Tyler Bass,BUF,1.6,2.1,2.1,6.8
Sam Sloman,LAR,1.5,1.9,2.3,6.8
Josh Lambo,JAC,1.6,2.0,1.9,6.8
Austin Seibert,CLE,1.7,2.1,1.7,6.8
Eddy Pineiro,CHI,1.5,1.9,2.1,6.7
Ryan Succop,TB,1.6,2.2,2.0,6.7
Ka'imi Fairbairn,HOU,1.6,2.0,2.0,6.7
Jason Sanders,MIA,1.6,1.9,1.8,6.6
Zane Gonzalez,ARI,1.6,2.2,1.8,6.6
Graham Gano,NYG,1.5,1.9,2.0,6.5
Chase McLaughlin,MIN,1.4,1.7,2.1,6.3
Dustin Hopkins,WAS,1.5,1.8,1.7,6.2
Sam Ficken,NYJ,1.5,1.8,1.7,6.2
Justin Rohrwasser,NE,1.3,1.5,2.1,6.0
Cairo Santos,CHI,0.0,0.0,0.0,0.0
Greg Joseph,TB,0.0,0.0,0.0,0.0
