player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Christian McCaffrey,SF,258.0,1220.7,11.0,67.0,526.4,3.9,2.0,337.7
Breece Hall,NYJ,217.0,932.0,7.0,55.0,408.0,2.0,2.0,284.6
Bijan Robinson,ATL,224.0,1031.6,6.0,55.0,414.0,2.0,3.0,284.5
Saquon Barkley,PHI,247.0,1037.0,7.0,44.0,310.9,2.0,2.0,237.6
Jonathan Taylor,IND,255.0,1122.0,9.0,32.0,239.9,1.0,2.0,247.5
Jahmyr Gibbs,DET,180.0,871.7,7.0,47.0,331.0,1.0,2.0,235.6
Kyren Williams,LAR,230.7,1075.0,9.0,34.6,231.0,1.0,2.0,242.1
Alvin Kamara,NO,180.7,718.0,4.0,57.0,421.0,1.8,1.0,222.7
Travis Etienne Jr.,JAC,225.2,905.0,7.0,44.0,327.4,1.0,2.0,224.5
Rachaad White,TB,213.5,865.0,5.0,50.0,357.5,1.7,2.0,227.1
Isiah Pacheco,KC,220.4,978.6,7.0,35.0,235.0,2.0,2.0,224.0
James Cook,BUF,207.3,908.0,4.0,40.0,309.0,2.0,2.0,217.9
Derrick Henry,BAL,250.0,1059.3,10.3,20.0,145.0,0.0,1.0,226.1
De'Von Achane,MIA,144.0,750.4,6.0,39.0,295.0,2.0,1.0,209.8
Josh Jacobs,GB,228.0,945.5,6.0,34.0,255.0,0.0,1.1,207.8
Joe Mixon,HOU,214.9,883.7,6.0,36.8,277.0,1.0,1.0,211.8
Kenneth Walker III,SEA,220.0,858.0,7.0,27.8,201.0,0.8,1.0,199.1
Aaron Jones,MIN,157.9,724.0,4.4,36.0,267.0,1.9,1.0,176.2
Rhamondre Stevenson,NE,188.5,790.8,4.7,32.0,236.0,0.0,1.0,170.8
Zamir White,LV,201.2,854.0,5.0,28.0,203.0,0.0,2.0,178.5
David Montgomery,DET,181.3,795.3,9.0,21.7,155.0,0.0,1.0,177.4
James Conner,ARI,176.8,814.6,5.8,27.6,178.0,1.0,1.0,177.3
Najee Harris,PIT,218.8,889.8,5.9,28.0,168.7,1.0,1.0,176.5
Jaylen Warren,PIT,124.4,597.9,3.1,43.0,293.9,1.0,2.0,161.3
Javonte Williams,DEN,167.7,664.5,3.9,30.5,170.9,1.0,1.0,159.3
D'Andre Swift,CHI,151.5,663.1,4.0,29.8,210.4,1.0,1.0,164.7
Raheem Mostert,MIA,154.1,721.6,6.4,17.0,108.0,1.0,1.0,166.4
Tony Pollard,TEN,156.0,655.0,5.0,28.6,192.0,0.0,1.0,163.2
Devin Singletary,NYG,184.3,759.0,4.0,26.4,163.2,0.0,1.0,148.0
Brian Robinson Jr.,WAS,162.5,683.7,4.6,23.9,184.0,0.9,2.0,148.5
Austin Ekeler,WAS,110.2,440.0,3.0,39.0,325.0,2.0,3.0,160.9
Tyjae Spears,TEN,120.5,527.9,3.0,26.9,205.5,0.9,1.0,139.3
Zack Moss,CIN,149.4,646.7,5.5,17.9,119.4,0.9,1.0,153.6
Chase Brown,CIN,122.0,526.0,3.0,34.0,264.0,1.0,1.0,152.3
Ezekiel Elliott,DAL,130.0,455.0,4.0,25.8,161.1,1.0,1.0,111.4
Gus Edwards,LAC,174.0,629.0,5.5,8.8,64.6,0.0,2.0,136.2
Nick Chubb,CLE,141.0,676.0,4.8,13.1,98.0,0.0,1.0,128.6
Jonathon Brooks,CAR,143.3,656.0,3.4,15.0,111.3,0.5,3.0,124.6
Jerome Ford,CLE,119.0,477.0,3.0,23.0,164.0,0.9,1.0,118.7
J.K. Dobbins,LAC,125.0,348.0,3.0,11.1,73.9,0.4,1.0,110.0
Antonio Gibson,NE,106.0,341.0,2.0,29.8,239.9,0.8,2.0,119.9
Zach Charbonnet,SEA,104.1,423.9,2.0,30.4,203.6,0.0,1.0,96.8
Ty Chandler,MIN,128.0,492.0,3.0,13.0,89.5,0.0,1.0,108.6
Chuba Hubbard,CAR,111.0,454.0,2.7,22.0,155.0,0.0,1.0,104.5
Tyler Allgeier,ATL,129.0,517.0,3.0,17.0,134.0,0.9,1.0,112.3
Rico Dowdle,DAL,103.9,442.5,3.0,22.0,160.0,0.9,1.0,108.6
Blake Corum,LAR,97.0,427.0,3.0,13.0,129.7,0.0,3.0,96.3
Jaleel McLaughlin,DEN,95.0,396.7,2.0,22.0,141.2,0.0,1.0,102.2
Trey Benson,ARI,106.0,455.0,3.0,13.7,90.0,0.4,3.0,101.3
Khalil Herbert,CHI,125.1,427.0,2.8,10.0,76.0,0.7,1.0,94.6
MarShawn Lloyd,GB,72.4,317.7,1.9,13.0,99.0,0.9,2.0,79.7
Alexander Mattison,LV,95.0,323.0,2.0,11.3,77.1,0.5,1.0,68.5
Ray Davis,BUF,55.9,236.4,1.7,13.0,94.2,0.0,2.0,65.1
Clyde Edwards-Helaire,KC,40.8,169.1,1.0,4.5,36.4,0.2,1.0,47.4
Kendre Miller,NO,30.9,124.7,0.8,8.4,61.7,0.4,1.0,43.3
Jamaal Williams,NO,84.0,336.6,1.8,12.0,75.0,0.0,1.0,64.1
Bucky Irving,TB,72.8,314.7,1.7,8.2,57.3,0.4,3.0,71.0
Braelon Allen,NYJ,78.4,339.3,2.0,6.1,41.9,0.3,2.0,67.1
Tyrone Tracy Jr.,NYG,65.6,275.0,1.6,10.1,62.1,0.3,3.0,63.6
Miles Sanders,CAR,93.3,194.0,1.0,6.0,44.0,0.0,2.0,50.0
Elijah Mitchell,SF,74.4,317.4,2.2,4.1,26.3,0.0,1.0,58.1
Roschon Johnson,CHI,54.2,207.0,1.5,6.5,43.5,0.0,1.0,54.0
Jaylen Wright,MIA,20.0,82.6,0.5,6.6,45.1,0.3,2.0,28.9
Dameon Pierce,HOU,70.0,219.0,2.0,8.8,57.6,0.0,1.0,38.9
Kenneth Gainwell,PHI,9.9,41.0,0.3,4.0,26.4,0.0,2.0,26.3
Tank Bigsby,JAC,82.5,286.0,2.0,1.0,6.0,0.0,6.0,54.2
D'Onta Foreman,CLE,38.8,168.4,1.6,4.2,32.1,0.0,0.3,39.2
Samaje Perine,DEN,7.1,29.0,0.2,3.9,29.0,0.2,3.0,27.9
Keaton Mitchell,BAL,41.2,182.9,1.0,9.0,75.0,0.0,1.0,47.9
Justice Hill,BAL,16.7,69.8,0.5,5.9,41.9,0.0,2.0,29.5
AJ Dillon,GB,47.8,186.8,1.2,2.2,19.0,0.0,1.0,44.4
Kimani Vidal,LAC,42.6,175.8,0.8,8.0,55.3,0.0,0.2,41.9
Chase Edmonds,TB,22.8,96.7,0.6,4.2,29.1,0.0,0.2,31.0
Emari Demercado,ARI,14.9,60.6,0.4,9.7,61.4,0.0,1.0,32.3
Carson Steele,KC,21.7,90.4,0.7,4.3,30.7,0.0,1.0,30.2
Audric Estime,DEN,37.9,158.4,0.9,7.4,47.9,0.0,2.0,37.2
Eric Gray,NYG,26.0,104.3,0.7,6.1,37.0,0.0,0.3,29.6
Ty Johnson,BUF,26.8,110.6,0.7,4.3,34.4,0.3,0.3,30.9
Will Shipley,PHI,32.6,140.4,0.8,2.0,25.0,0.0,0.2,26.5
Trey Sermon,IND,19.6,79.1,0.4,2.0,8.0,0.0,0.2,20.3
Evan Hull,IND,22.0,88.2,0.5,5.8,40.7,0.3,0.2,25.9
Isaiah Davis,NYJ,65.5,111.0,1.0,4.0,31.0,0.0,0.3,30.7
Dylan Laube,LV,15.1,61.9,0.3,3.7,24.8,0.0,0.1,25.4
Kyle Juszczyk,SF,4.7,19.8,0.0,5.9,52.8,0.4,0.1,24.6
Royce Freeman,DAL,53.4,52.0,1.0,4.0,26.0,0.0,0.2,23.7
Jordan Mason,SF,29.8,124.0,0.9,1.0,5.0,0.0,0.1,23.2
Isaac Guerendo,SF,26.8,116.2,1.0,2.0,27.0,0.0,0.1,18.2
Cordarrelle Patterson,PIT,17.8,81.0,0.6,3.0,23.0,0.0,0.2,20.9
Deuce Vaughn,DAL,4.6,18.3,0.2,4.3,30.9,0.0,1.0,15.5
Kendall Milton,PHI,34.0,145.0,2.0,2.0,25.0,0.0,0.0,21.0
Jase McClellan,ATL,28.4,118.0,0.9,2.0,26.0,0.0,0.1,18.4
Ameer Abdullah,LV,9.4,37.9,0.0,3.7,26.3,0.0,0.1,19.5
Michael Carter,ARI,4.9,20.2,0.2,1.9,12.2,0.0,0.2,12.5
Chris Rodriguez Jr.,WAS,2.1,8.6,0.0,2.1,14.9,0.0,0.2,10.1
Nyheim Hines,CLE,8.4,29.0,0.0,4.8,33.7,0.0,0.2,19.9
Andrew Beck,HOU,2.2,3.0,0.0,2.2,17.2,0.2,3.0,13.5
Deneric Prince,KC,10.8,45.2,0.4,2.2,15.3,0.0,0.1,14.2
Rasheen Ali,BAL,16.7,70.1,0.5,2.0,23.0,0.0,0.1,17.3
Jawhar Jordan,HOU,0.0,134.0,1.0,4.0,30.0,0.0,0.0,30.4
DeWayne McBride,MIN,0.0,125.0,1.0,4.0,30.0,0.0,0.0,29.5
D'Ernest Johnson,JAC,9.1,37.5,0.0,3.0,23.0,0.0,0.2,14.8
Blake Watson,DEN,0.0,108.0,1.0,4.0,29.0,0.0,0.0,27.7
Ronnie Rivers,LAR,2.3,9.3,0.0,2.0,15.0,0.0,0.1,8.1
Jeremy McNichols,WAS,2.1,8.5,0.0,2.1,14.9,0.1,0.0,11.2
Daijun Edwards,PIT,31.0,132.0,1.0,2.0,21.0,0.0,0.0,14.0
Isaiah Spiller,LAC,11.4,45.3,0.2,4.0,20.0,0.0,0.0,16.7
Craig Reynolds,DET,2.4,9.5,0.0,2.0,17.3,0.0,0.2,7.8
Kevin Harris,NE,4.5,18.1,0.1,1.9,14.9,0.0,0.1,8.8
Dare Ogunbowale,HOU,2.2,8.7,0.0,2.1,16.2,0.0,0.2,11.5
Hunter Luepke,DAL,4.2,18.0,0.1,4.3,30.9,0.0,0.0,12.8
Trayveon Williams,CIN,10.9,41.0,0.0,2.2,14.4,0.0,0.2,13.0
Kenny McIntosh,SEA,27.6,50.0,0.0,2.0,15.0,0.0,0.2,13.6
Nick Bawden,HOU,4.8,16.0,0.2,2.0,14.0,0.0,0.0,7.0
Pierre Strong Jr.,CLE,2.4,10.2,0.0,1.0,8.0,0.0,0.0,5.9
Jeff Wilson Jr.,MIA,4.4,19.0,0.2,2.1,15.2,0.0,0.0,7.8
Julius Chestnut,TEN,2.3,9.1,0.0,1.9,14.5,0.0,0.2,8.4
Emanuel Wilson,GB,2.2,8.9,0.0,2.2,15.7,0.0,0.0,7.5
Jordan Mims,NO,0.0,68.0,1.0,3.0,18.0,0.0,0.0,20.6
Jaret Patterson,LAC,16.7,71.0,0.4,4.0,27.6,0.1,0.1,16.8
Emani Bailey,KC,29.0,47.0,0.0,2.0,18.0,0.0,0.0,11.0
Tyler Goodson,IND,2.4,9.9,0.0,1.9,13.4,0.0,0.0,7.1
Joshua Kelley,NYG,2.2,8.4,0.0,2.0,12.1,0.0,0.0,6.3
Cam Akers,HOU,4.4,17.7,0.2,2.2,15.8,0.0,0.1,7.4
Carlos Washington Jr.,ATL,0.0,37.0,1.0,4.0,22.0,0.0,0.0,19.9
Alec Ingold,MIA,0.0,0.0,0.0,2.2,15.8,0.2,0.1,11.0
JaMycal Hasty,NE,9.1,25.0,0.0,2.0,15.0,0.0,0.2,10.5
Cody Schrader,SF,33.0,23.0,0.0,1.0,2.0,0.0,0.0,5.0
Boston Scott,LAR,2.3,9.5,0.1,2.0,16.4,0.0,0.0,6.3
Israel Abanikanda,NYJ,9.5,38.1,0.0,2.0,13.9,0.0,0.1,9.5
Matt Breida,SF,2.5,10.9,0.0,2.0,14.1,0.0,0.0,6.1
Raheem Blackshear,CAR,0.0,0.0,0.0,2.0,14.3,0.0,0.1,6.4
Dante Miller,NYG,7.1,29.2,0.2,4.2,28.1,0.2,0.1,12.1
Sean Tucker,TB,9.1,33.0,0.0,2.0,14.0,0.0,0.1,9.7
Kene Nwangwu,MIN,8.7,34.5,0.0,2.0,11.0,0.0,0.1,10.7
Chris Brooks,MIA,2.2,9.0,0.0,2.2,14.8,0.2,0.1,6.4
Michael Burton,DEN,2.4,9.4,0.0,3.7,23.9,0.1,0.1,8.6
James Robinson,NO,9.5,40.6,0.3,2.1,13.5,0.2,0.0,9.6
La'Mical Perine,PIT,12.7,25.0,0.0,2.0,11.0,0.0,0.1,8.4
DeeJay Dallas,ARI,2.5,10.0,0.0,1.9,12.1,0.0,0.1,6.6
Avery Williams,ATL,4.1,17.7,0.2,2.2,15.1,0.2,0.0,8.1
Reggie Gilliam,BUF,0.0,0.0,0.0,4.4,33.1,0.3,0.0,9.3
Myles Gaskin,MIN,2.2,8.5,0.0,2.0,11.0,0.0,0.1,5.2
Darrynton Evans,BUF,2.3,9.0,0.0,2.2,16.8,0.2,0.0,6.8
Travis Homer,CHI,2.3,9.6,0.0,2.1,16.3,0.0,0.0,6.6
Tucker Fisk,LAC,0.0,0.0,0.0,4.4,31.3,0.2,0.0,9.0
Malik Davis,DAL,2.3,9.3,0.0,2.1,15.9,0.0,0.0,6.2
Adam Prentice,NO,2.4,9.6,0.0,2.1,14.3,0.1,0.0,6.5
Sione Vaki,DET,12.6,26.0,0.0,1.0,5.0,0.0,0.1,5.6
Keaontay Ingram,KC,9.0,30.0,0.0,2.0,10.0,0.0,0.0,8.1
Keilan Robinson,JAC,0.0,33.0,0.0,2.0,15.0,0.0,0.0,14.8
Gary Brightwell,JAC,4.3,17.5,0.2,2.0,12.8,0.0,0.0,6.2
Patrick Ricard,BAL,2.7,10.9,0.0,2.3,16.2,0.2,0.0,6.1
Hassan Haskins,TEN,2.3,9.2,0.0,1.9,11.0,0.0,0.0,5.0
Zonovan Knight,DET,2.4,9.3,0.0,2.2,16.2,0.2,0.0,5.7
J.J. Taylor,HOU,2.2,8.8,0.0,2.2,16.2,0.2,0.0,5.7
Jake Funk,DET,2.4,9.4,0.0,2.1,16.1,0.2,0.0,5.7
Jermar Jefferson,DET,2.4,9.5,0.0,2.1,15.9,0.2,0.0,5.7
Snoop Conner,DAL,2.3,9.2,0.0,2.1,15.5,0.2,0.0,5.7
Elijah Dotson,LAC,2.3,9.3,0.0,2.0,14.6,0.0,0.0,5.3
Khari Blasingame,CHI,2.3,9.3,0.0,2.1,14.5,0.2,0.0,5.4
Spencer Brown,ATL,4.7,18.8,0.0,2.0,13.8,0.0,0.0,6.0
Zach Evans,LAR,2.3,9.3,0.0,1.0,9.0,0.0,0.0,5.0
Patrick Taylor Jr.,SF,2.5,10.0,0.0,2.0,12.8,0.0,0.0,5.4
John Kelly Jr.,BAL,2.4,9.9,0.0,2.0,13.8,0.1,0.0,5.2
C.J. Ham,MIN,2.2,8.6,0.0,2.1,15.4,0.1,0.0,5.4
Jakob Johnson,NYG,2.2,8.8,0.0,2.0,12.2,0.0,0.0,4.9
Mike Boone,CAR,0.0,0.0,0.0,2.0,14.0,0.0,0.0,3.8
