player,team,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Patrick Mahomes II,KC,609.8,405.6,4829.8,37.7,11.2,64.9,356.8,3.2,1.9,383.7
Josh Allen,BUF,577.0,364.1,4285.6,32.1,14.2,116.6,660.0,6.2,4.2,380.8
Jalen Hurts,PHI,493.6,318.0,3804.0,23.5,10.1,157.7,800.2,11.0,2.9,376.3
Lamar Jackson,BAL,481.8,305.9,3488.6,25.6,11.6,148.0,938.4,5.5,3.0,350.9
Joe Burrow,CIN,591.3,402.0,4589.9,32.7,12.9,63.8,269.3,3.7,2.3,346.1
Justin Fields,CHI,410.7,252.7,2927.2,20.4,12.9,160.2,1066.0,6.8,3.5,326.5
Justin Herbert,LAC,627.2,421.6,4593.0,30.1,12.7,57.2,220.9,2.0,2.0,321.6
Deshaun Watson,CLE,503.8,324.1,3850.3,24.7,11.0,97.1,485.8,4.1,1.8,311.2
Dak Prescott,DAL,552.1,364.3,4120.4,29.2,13.8,58.8,251.4,2.4,3.1,301.2
Trevor Lawrence,JAC,578.4,378.4,4088.5,26.9,12.2,62.3,285.3,3.9,5.2,300.6
Kirk Cousins,MIN,593.0,395.1,4443.0,30.3,12.3,31.6,92.1,1.5,2.8,299.4
Daniel Jones,NYG,515.6,335.4,3471.3,20.8,10.0,109.3,636.5,4.9,4.1,296.8
Geno Smith,SEA,544.4,370.7,4049.8,27.1,11.3,62.2,323.2,2.0,3.5,296.2
Aaron Rodgers,NYJ,559.3,361.9,4060.9,28.1,8.7,35.5,121.5,1.5,2.6,282.2
Tua Tagovailoa,MIA,535.8,350.8,4121.2,27.2,12.3,43.1,133.4,1.7,1.8,280.9
Russell Wilson,DEN,510.8,321.7,3791.8,23.9,10.9,63.4,317.3,2.6,2.1,279.6
Jared Goff,DET,568.6,373.6,4221.4,27.6,11.0,31.2,80.7,1.2,3.5,276.3
Anthony Richardson,IND,488.1,301.5,3209.5,18.1,13.2,135.6,610.8,4.2,2.3,269.6
Derek Carr,NO,510.4,335.2,3937.7,23.7,11.8,34.5,116.7,0.9,2.6,252.4
