player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection
Tampa Bay Buccaneers,,44.5,14.0,8.5,15.8,2.1,0.8,342.0,5880.3,111.3
Pittsburgh Steelers,,40.7,10.7,8.4,13.4,1.9,0.6,319.0,6004.1,95.4
Los Angeles Rams,,40.1,11.5,8.1,12.5,2.0,0.6,344.0,5879.9,95.3
Indianapolis Colts,,40.2,12.3,7.8,15.2,2.6,0.0,364.0,5976.3,99.2
Washington Football Team,,39.8,11.4,8.9,15.3,2.0,0.0,335.0,6019.1,100.3
New Orleans Saints,,40.6,12.0,7.4,11.3,2.0,0.0,332.7,5960.5,95.4
Baltimore Ravens,,34.8,12.0,8.0,15.9,2.4,0.6,315.0,6014.8,100.5
Green Bay Packers,,39.9,13.0,7.0,12.5,2.0,0.0,344.1,6165.6,94.0
Arizona Cardinals,,45.0,9.0,7.8,13.8,1.0,0.7,375.8,6254.2,91.0
Philadelphia Eagles,,39.7,9.0,7.6,11.7,2.0,0.6,385.0,6299.7,93.4
Seattle Seahawks,,40.4,13.0,8.3,13.7,2.0,0.6,367.7,6276.7,100.8
Buffalo Bills,,39.1,13.9,7.4,13.0,2.0,0.0,350.0,5963.6,100.2
New England Patriots,,35.0,12.5,7.2,11.1,2.0,0.0,315.0,6213.6,91.4
Carolina Panthers,,31.0,11.0,8.5,16.6,2.0,0.0,383.9,6203.9,91.0
Kansas City Chiefs,,35.0,12.1,8.0,12.8,2.5,0.0,370.1,6220.8,97.5
Miami Dolphins,,25.0,13.2,6.0,14.5,2.0,0.6,353.6,6360.0,83.0
Cleveland Browns,,37.6,12.0,8.5,13.4,2.0,0.6,357.9,6105.2,99.0
Dallas Cowboys,,35.0,9.0,8.7,16.4,2.0,0.0,385.0,6396.8,95.0
San Francisco 49ers,,38.0,11.3,8.2,15.1,2.0,0.0,368.5,5940.2,100.0
Denver Broncos,,38.5,11.0,7.7,11.9,2.0,0.5,353.9,6320.7,93.5
Los Angeles Chargers,,36.9,12.1,6.0,9.2,2.1,0.0,329.0,6140.3,87.4
New York Giants,,35.0,11.0,8.0,13.6,2.0,0.0,371.9,6226.3,87.0
Atlanta Falcons,,29.7,12.0,8.1,15.8,2.0,0.0,385.3,6473.0,90.0
Minnesota Vikings,,30.6,11.4,7.0,11.5,2.0,0.0,355.0,6425.9,88.2
Chicago Bears,,34.0,10.0,8.5,15.8,1.0,0.0,373.2,6180.5,86.0
Tennessee Titans,,24.0,13.0,7.7,13.1,2.0,0.0,370.4,6251.2,78.0
New York Jets,,23.0,9.0,6.0,14.7,1.0,0.0,410.6,6278.4,59.0
Las Vegas Raiders,,25.1,11.0,8.0,13.3,2.0,0.0,383.5,6456.0,79.0
Jacksonville Jaguars,,25.0,11.0,7.0,11.3,2.0,0.0,419.9,6733.0,81.0
Houston Texans,,28.0,9.0,7.0,12.8,1.0,0.0,409.6,7352.0,66.0
Detroit Lions,,27.0,7.0,6.0,14.0,1.0,0.0,424.7,6830.4,67.0
Cincinnati Bengals,,19.7,11.6,6.0,13.9,0.0,0.0,409.1,6585.0,62.0
