rank,name,team,position,bye,best,worst,ecp,ecp_std_dev,adp,ecp_vs_adp
77,Doug Martin,TB,RB29,11,43,138,80.0,19.0,74.0,-3.0
78,DeSean Jackson,TB,WR35,11,54,135,82.2,14.8,88.0,+10.0
79,Jeremy Maclin,BAL,WR36,10,44,139,83.7,18.7,85.0,+6.0
80,Jameis Winston,TB,QB8,11,56,108,81.2,12.6,79.0,-1.0
81,Delanie Walker,TEN,TE8,8,19,115,85.2,15.5,75.0,-6.0
82,Terrance West,BAL,RB30,10,26,130,85.5,20.4,97.0,+15.0
83,Adrian Peterson,NO,RB31,5,55,171,86.2,20.6,72.0,-11.0
84,Zach Ertz,PHI,TE9,10,40,112,86.4,14.8,78.0,-6.0
85,Andrew Luck,IND,QB9,11,47,120,83.9,19.4,92.0,+7.0
86,Cam Newton,CAR,QB10,11,47,139,84.4,16.3,90.0,+4.0
87,Paul Perkins,NYG,RB32,8,43,111,88.0,15.3,81.0,-6.0
88,Donte Moncrief,IND,WR37,11,49,140,89.0,18.9,84.0,-4.0
89,Tyrell Williams,LAC,WR38,9,41,142,90.7,20.4,96.0,+7.0
90,Eric Decker,TEN,WR39,8,69,168,95.1,17.4,94.0,+4.0
91,Theo Riddick,DET,RB33,7,64,169,93.2,16.9,80.0,-11.0
92,Derek Carr,OAK,QB11,10,56,122,93.7,16.1,83.0,-9.0
93,Kenny Britt,CLE,WR40,9,49,143,96.3,17.1,105.0,+12.0
94,Ben Roethlisberger,PIT,QB12,9,47,137,95.3,21.2,103.0,+9.0
95,Duke Johnson,CLE,RB34,9,65,150,98.6,16.3,95.0,0.0
96,Martellus Bennett,GB,TE10,8,70,133,98.9,12.2,91.0,-5.0
97,Derrick Henry,TEN,RB35,8,74,141,99.1,17.3,87.0,-10.0
98,LeGarrette Blount,PHI,RB36,10,45,144,99.3,21.0,98.0,0.0
99,Robert Kelley,WAS,RB37,5,54,155,100.5,19.9,89.0,-10.0
100,Dak Prescott,DAL,QB13,6,65,125,99.0,16.0,107.0,+7.0
101,Randall Cobb,GB,WR41,8,72,146,102.5,17.5,93.0,-8.0
102,Philip Rivers,LAC,QB14,9,58,134,102.4,15.9,118.0,+16.0
103,Matthew Stafford,DET,QB15,7,54,142,104.3,18.4,110.0,+7.0
104,Eric Ebron,DET,TE11,7,79,139,106.8,12.9,116.0,+12.0
105,Adam Thielen,MIN,WR42,9,71,158,107.0,20.1,101.0,-4.0
106,Jordan Matthews,BUF,WR43,6,66,162,107.9,20.0,114.0,+8.0
107,Mike Wallace,BAL,WR44,10,62,148,108.2,17.6,108.0,+1.0
108,Hunter Henry,LAC,TE12,9,67,143,110.6,14.7,102.0,-6.0
109,Matt Forte,NYJ,RB38,11,32,179,110.7,25.3,117.0,+8.0
110,John Brown,ARI,WR45,8,66,170,111.5,21.8,121.0,+11.0
111,Corey Coleman,CLE,WR46,9,81,141,111.7,14.3,106.0,-5.0
112,Jonathan Stewart,CAR,RB39,11,75,149,112.2,16.2,115.0,+3.0
113,Eddie Lacy,SEA,RB40,6,55,158,113.8,26.9,100.0,-13.0
