rank,name,team,position,bye,best,worst,ecp,ecp_std_dev,adp,ecp_vs_adp
328,Nick Boyle,BAL,TE46,10,237,247,242.0,5.0,367.0,+39.0
329,Trey Burton,PHI,TE47,10,201,286,243.5,42.5,,
330,Brandon Coleman,NO,WR106,5,226,270,243.5,17.7,257.0,-73.0
331,Chad Henne,JAC,QB36,8,217,268,244.2,16.3,,
332,JuJu Smith-Schuster,PIT,WR107,9,201,351,244.8,42.7,264.0,-68.0
333,Dion Sims,CHI,TE48,9,201,302,244.8,40.2,373.0,+40.0
334,Bruce Ellington,HOU,WR108,7,230,275,246.3,17.2,217.0,-117.0
335,Russell Shepard,CAR,WR109,11,220,275,247.5,27.5,,
336,Roberto Aguayo,CHI,K25,9,222,288,248.0,28.7,335.0,-1.0
337,Washington Redskins,,DST28,5,228,270,249.0,21.0,302.0,-35.0
338,Malcolm Brown,LAR,RB92,8,235,265,250.0,15.0,386.0,+48.0
339,Damien Williams,MIA,RB93,11,207,331,250.2,29.1,339.0,0.0
340,Luke Willson,SEA,TE49,6,222,279,250.5,28.5,,
341,Ryan Switzer,DAL,WR110,6,225,277,251.0,26.0,351.0,+10.0
342,Jalin Marshall,NYJ,WR111,11,244,262,252.0,7.5,,
343,Kamar Aiken,IND,WR112,11,205,322,252.7,26.8,305.0,-38.0
344,Chris Johnson,ARI,RB94,8,228,273,253.0,17.3,282.0,-62.0
345,Brian Quick,WAS,WR113,5,233,270,253.3,14.4,,
346,Josh Hill,NO,TE50,5,225,282,253.5,28.5,,
347,Aldrick Rosas,NYG,K26,8,226,301,254.7,33.1,315.0,-32.0
348,Michael Floyd,MIN,WR114,9,226,310,255.0,23.5,337.0,-11.0
349,Brock Osweiler,CLE,QB37,9,204,337,255.5,49.5,341.0,-8.0
350,Aldrick Robinson,SF,WR115,11,246,266,256.0,10.0,,
351,Chris Godwin,TB,WR116,11,215,341,258.5,49.4,247.0,-104.0
352,Taywan Taylor,TEN,WR117,8,247,276,258.5,11.6,392.0,+40.0
353,Cody Kessler,CLE,QB38,9,231,317,258.8,27.2,343.0,-10.0
354,Virgil Green,DEN,TE51,5,204,315,259.5,55.5,,
355,Josh Gordon,CLE,WR118,9,229,288,260.4,18.8,276.0,-79.0
356,Lance Dunbar,LAR,RB95,8,249,279,265.0,12.3,,
357,Jeremy Langford,CHI,RB96,9,238,297,266.0,14.7,274.0,-83.0
358,Geronimo Allison,GB,WR119,8,252,282,267.0,15.0,265.0,-93.0
359,Aaron Jones,GB,RB97,8,235,384,269.2,51.9,291.0,-68.0
360,Matt Jones,WAS,RB98,5,261,300,273.4,13.3,327.0,-33.0
361,Patrick Mahomes,KC,QB39,10,245,318,273.7,31.8,299.0,-62.0
362,Tajae Sharpe,TEN,WR120,8,214,391,274.6,60.6,287.0,-75.0
363,Paxton Lynch,DEN,QB40,5,230,340,276.0,46.7,344.0,-19.0
364,Elijah Hood,OAK,RB99,10,219,404,276.7,55.3,293.0,-71.0
365,Dontrelle Inman,LAC,WR121,9,233,322,277.5,44.5,330.0,-35.0
366,Will Tye,NYG,TE52,8,262,291,279.3,12.5,,
367,Donnel Pumphrey,PHI,RB100,10,245,357,280.4,39.4,260.0,-107.0
368,Andre Ellington,ARI,RB101,8,243,325,282.8,38.8,,
369,Cordarrelle Patterson,OAK,WR122,10,251,339,284.5,33.0,284.0,-85.0
370,Colin Kaepernick,FA,QB41,,254,316,285.0,31.0,363.0,-7.0
371,Victor Cruz,CHI,WR123,9,277,293,285.0,8.0,334.0,-37.0
372,Chester Rogers,IND,WR124,11,233,377,287.3,63.9,258.0,-114.0
373,Kerwynn Williams,ARI,RB102,8,246,370,287.7,58.2,242.0,-131.0
374,Mack Hollins,PHI,WR125,10,268,354,311.0,43.0,365.0,-9.0
375,Cameron Artis-Payne,CAR,RB103,11,278,371,327.3,38.2,347.0,-28.0
376,Shaun Draughn,NYG,RB104,8,334,342,338.0,4.0,348.0,-28.0
377,Kenjon Barner,LAC,RB105,9,309,407,358.0,49.0,329.0,-48.0
