player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection
Dallas Cowboys,,46.6,14.5,11.9,18.7,2.7,0.0,359.1,5675.9,115.8
Philadelphia Eagles,,53.4,12.6,9.5,16.1,2.7,0.4,359.2,5566.7,114.4
New England Patriots,,45.3,14.8,9.4,13.8,2.9,0.1,358.8,5704.4,111.3
Pittsburgh Steelers,,49.8,14.9,8.8,13.0,2.0,0.1,349.4,5616.0,109.6
Indianapolis Colts,,44.0,13.9,11.0,16.6,2.3,0.9,387.1,5670.2,109.2
Cleveland Browns,,45.6,14.3,9.7,15.0,2.5,0.2,365.1,5571.3,109.1
San Francisco 49ers,,47.7,13.4,10.0,16.0,2.3,0.0,315.1,5503.1,108.2
Kansas City Chiefs,,46.8,13.0,9.7,14.7,2.5,0.5,373.5,5737.6,108.0
Washington Commanders,,47.8,12.9,9.5,15.4,2.3,0.5,380.0,5656.5,107.4
Miami Dolphins,,45.9,13.7,9.6,15.1,2.3,0.5,366.8,5593.9,107.2
New Orleans Saints,,46.6,14.0,9.1,12.9,2.3,0.2,335.2,5333.3,106.7
Buffalo Bills,,43.6,14.9,9.6,13.6,2.1,0.6,327.4,5572.8,106.2
Green Bay Packers,,42.7,15.1,8.9,13.5,2.4,0.5,370.5,5806.6,106.0
New York Jets,,45.3,13.5,8.7,13.4,2.3,1.0,354.1,5495.1,105.4
Seattle Seahawks,,43.9,13.6,9.9,15.7,2.1,0.7,380.7,5943.1,104.7
Los Angeles Chargers,,42.6,14.2,9.8,15.4,2.1,0.6,399.8,6127.3,104.1
Minnesota Vikings,,42.5,13.9,9.9,14.5,2.2,0.2,420.9,6114.0,103.7
Detroit Lions,,42.2,13.3,10.1,15.9,2.3,0.6,410.9,6168.0,103.6
Houston Texans,,41.2,13.9,10.6,15.0,2.1,0.5,391.6,5747.3,103.6
Baltimore Ravens,,44.9,12.4,10.0,16.4,2.1,0.2,345.8,5773.2,103.0
Tampa Bay Buccaneers,,43.0,11.9,11.0,17.2,2.1,0.1,378.1,5691.7,101.9
Jacksonville Jaguars,,39.3,13.3,10.1,16.1,2.4,0.0,359.0,5708.6,100.5
Los Angeles Rams,,43.2,13.2,8.4,12.4,2.2,0.1,396.8,5894.6,100.2
Tennessee Titans,,41.4,13.8,8.5,12.7,2.3,0.1,355.5,5610.7,99.8
Cincinnati Bengals,,40.0,13.7,10.0,15.8,2.0,0.1,350.1,5770.4,99.8
New York Giants,,41.1,12.5,10.2,17.2,2.0,0.5,389.4,6019.9,99.5
Carolina Panthers,,40.7,12.3,9.7,13.1,2.3,0.3,369.2,5576.9,99.3
Denver Broncos,,41.3,14.1,8.9,15.1,1.9,0.1,369.0,5675.5,98.8
Atlanta Falcons,,34.7,14.2,9.9,16.2,2.3,0.6,378.6,5843.8,98.0
Arizona Cardinals,,41.0,11.9,10.0,15.6,2.1,0.1,413.1,5835.9,97.8
Chicago Bears,,35.9,12.7,9.5,14.6,1.9,0.6,401.7,6256.8,93.2
Las Vegas Raiders,,36.6,10.6,9.0,13.8,2.2,0.5,419.1,6101.8,90.1
