player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Travis Kelce,KC,89.5,966.5,7.5,0.8,230.4
Sam LaPorta,DET,86.3,893.7,7.7,0.4,221.2
Mark Andrews,BAL,71.9,869.8,7.9,0.5,205.3
Trey McBride,ARI,86.0,882.0,5.1,0.5,203.5
Dalton Kincaid,BUF,82.9,828.3,5.4,0.8,196.5
George Kittle,SF,65.4,881.4,6.0,0.4,188.8
Evan Engram,JAC,85.4,787.1,4.4,0.9,188.4
Kyle Pitts,ATL,67.8,875.6,5.2,0.4,185.5
Jake Ferguson,DAL,70.7,736.2,5.9,0.4,178.8
David Njoku,CLE,69.9,771.9,5.4,1.2,177.3
Brock Bowers,LV,62.8,696.7,4.6,1.1,157.8
Dallas Goedert,PHI,65.4,690.7,4.0,0.5,157.6
Dalton Schultz,HOU,57.3,610.8,4.9,0.8,146.1
Pat Freiermuth,PIT,58.1,605.6,4.4,0.5,144.1
T.J. Hockenson,MIN,59.7,595.1,3.3,0.8,137.5
Tyler Conklin,NYJ,53.3,532.0,3.3,0.1,126.3
Cole Kmet,CHI,50.1,495.4,4.1,0.4,123.6
Hunter Henry,NE,47.7,494.0,4.2,0.1,122.4
Cade Otton,TB,49.2,489.4,3.7,0.4,119.7
Luke Musgrave,GB,46.7,489.4,3.4,0.1,115.8
Chigoziem Okonkwo,TEN,48.2,513.4,2.7,0.4,114.9
Noah Fant,SEA,45.9,489.8,2.8,0.1,111.3
Juwan Johnson,NO,40.4,441.3,4.1,0.1,109.2
Taysom Hill,NO,27.5,261.5,2.0,0.3,109.2
Isaiah Likely,BAL,34.2,411.5,3.9,0.1,98.6
Hayden Hurst,LAC,40.5,390.7,2.9,0.1,96.6
Jonnu Smith,MIA,37.8,415.8,2.9,0.4,95.7
Mike Gesicki,CIN,36.4,356.8,3.1,0.1,90.9
Zach Ertz,WAS,38.0,352.0,2.7,0.1,89.1
Ben Sinnott,WAS,36.8,377.2,2.4,0.4,88.4
Tucker Kraft,GB,33.9,354.2,2.6,0.1,84.6
Greg Dulcich,DEN,33.8,375.6,1.9,0.1,82.8
Tyler Higbee,LAR,33.9,347.5,2.1,0.1,81.2
Gerald Everett,CHI,32.9,305.7,2.6,0.1,78.8
Dawson Knox,BUF,28.3,297.4,3.3,0.1,77.6
Colby Parkinson,LAR,29.7,314.2,2.5,0.1,75.8
Daniel Bellinger,NYG,32.7,311.7,1.9,0.1,75.4
Theo Johnson,NYG,32.3,312.9,2.0,0.6,74.4
Ja'Tavion Sanders,CAR,29.9,311.2,2.3,0.4,74.0
Michael Mayer,LV,29.6,317.4,2.0,0.1,73.3
Tommy Tremble,CAR,27.5,261.4,2.5,0.1,68.3
Kylen Granson,IND,27.0,292.5,1.8,0.1,66.9
Noah Gray,KC,22.6,237.0,1.7,0.1,56.6
Will Dissly,LAC,23.3,225.6,1.5,0.1,54.7
Mo Alie-Cox,IND,17.2,193.6,2.0,0.0,48.7
Robert Tonyan,MIN,20.1,189.8,1.4,0.0,47.3
Durham Smythe,MIA,19.5,190.1,1.3,0.0,46.1
Tanner Hudson,CIN,18.2,175.4,1.4,0.0,44.1
Austin Hooper,NE,19.6,185.3,0.9,0.0,43.6
Donald Parham Jr.,LAC,15.1,158.3,2.1,0.0,43.5
Adam Trautman,DEN,17.3,167.8,1.5,0.0,43.2
