player,team,fgm,fga,xpm,fp_projection
Younghoe Koo,ATL,28.2,32.5,40.6,134.0
Justin Tucker,BAL,28.6,32.5,43.4,141.9
Harrison Butker,KC,28.4,32.4,46.0,131.0
Brandon Aubrey,DAL,28.8,32.5,42.5,142.0
Jake Elliott,PHI,28.0,32.0,43.2,128.0
Jason Myers,SEA,27.6,32.7,35.8,129.6
Ka'imi Fairbairn,HOU,27.0,30.0,41.2,122.0
Cameron Dicker,LAC,29.0,32.6,37.9,129.0
Blake Grupe,NO,27.4,32.7,32.5,125.4
Greg Zuerlein,NYJ,28.3,32.5,33.0,130.0
Evan McPherson,CIN,25.0,30.0,41.8,119.0
Tyler Bass,BUF,26.0,31.0,39.6,122.0
Cairo Santos,CHI,27.0,31.0,37.4,117.0
Jake Moody,SF,23.0,27.0,46.7,119.0
Matt Gay,IND,28.0,32.6,37.4,123.0
Jason Sanders,MIA,25.0,30.0,38.8,121.0
Chase McLaughlin,TB,27.0,30.0,35.6,118.0
Matt Prater,ARI,28.6,32.7,31.6,122.0
Dustin Hopkins,CLE,24.0,29.0,36.0,110.0
Cam Little,JAC,25.0,30.0,33.6,112.0
Jake Bates,DET,24.0,29.0,43.5,118.0
Joshua Karty,LAR,24.0,30.0,37.0,112.0
Nick Folk,TEN,26.0,27.0,31.0,109.0
Chris Boswell,PIT,27.0,31.0,31.6,114.0
Wil Lutz,DEN,26.0,30.0,28.2,108.0
Daniel Carlson,LV,25.0,28.0,29.7,109.0
Will Reichard,MIN,24.0,29.0,31.6,104.0
Eddy Pineiro,CAR,24.0,29.0,25.0,100.0
Graham Gano,NYG,21.0,27.0,27.2,95.0
Chad Ryland,NE,19.0,26.0,26.8,85.0
Anders Carlson,GB,12.0,18.0,15.0,51.0
Greg Joseph,GB,19.0,28.0,22.0,79.0
Cade York,WAS,0.0,0.0,0.0,0.0
